"Dist Code","Year","State Code","State Name","Dist Name","Crop Name","Area (1000 ha)"
1,1984,14,"Chhattisgarh","Durg","Fruits",4.73
1,1984,14,"Chhattisgarh","Durg","Onions",0.45
1,1984,14,"Chhattisgarh","Durg","Potatoes",0.05
1,1984,14,"Chhattisgarh","Durg","Vegetables",10.7
1,1985,14,"Chhattisgarh","Durg","Fodder",0.29
1,1985,14,"Chhattisgarh","Durg","Fruits",4.61
1,1985,14,"Chhattisgarh","Durg","Onions",0.46
1,1985,14,"Chhattisgarh","Durg","Potatoes",0.04
1,1985,14,"Chhattisgarh","Durg","Vegetables",11.28
1,1986,14,"Chhattisgarh","Durg","Fodder",0.31
1,1986,14,"Chhattisgarh","Durg","Fruits",4.8
1,1986,14,"Chhattisgarh","Durg","Onions",0.43
1,1986,14,"Chhattisgarh","Durg","Potatoes",0.06
1,1986,14,"Chhattisgarh","Durg","Vegetables",11.31
1,1987,14,"Chhattisgarh","Durg","Fodder",0.15
1,1987,14,"Chhattisgarh","Durg","Fruits",4.69
1,1987,14,"Chhattisgarh","Durg","Onions",0.54
1,1987,14,"Chhattisgarh","Durg","Potatoes",0.08
1,1987,14,"Chhattisgarh","Durg","Vegetables",12.5
1,1988,14,"Chhattisgarh","Durg","Fodder",0.54
1,1988,14,"Chhattisgarh","Durg","Fruits",6.35
1,1988,14,"Chhattisgarh","Durg","Onions",0.47
1,1988,14,"Chhattisgarh","Durg","Potatoes",0.08
1,1988,14,"Chhattisgarh","Durg","Vegetables",12.5
1,1989,14,"Chhattisgarh","Durg","Fodder",0.24
1,1989,14,"Chhattisgarh","Durg","Fruits",4.26
1,1989,14,"Chhattisgarh","Durg","Onions",0.42
1,1989,14,"Chhattisgarh","Durg","Potatoes",0.05
1,1989,14,"Chhattisgarh","Durg","Vegetables",14.37
1,1990,14,"Chhattisgarh","Durg","Fodder",0.0
1,1990,14,"Chhattisgarh","Durg","Fruits",4.26
1,1990,14,"Chhattisgarh","Durg","Onions",0.12
1,1990,14,"Chhattisgarh","Durg","Potatoes",0.06
1,1990,14,"Chhattisgarh","Durg","Vegetables",14.64
1,1991,14,"Chhattisgarh","Durg","Fodder",0.0
1,1991,14,"Chhattisgarh","Durg","Fruits",4.42
1,1991,14,"Chhattisgarh","Durg","Onions",0.56
1,1991,14,"Chhattisgarh","Durg","Potatoes",0.06
1,1991,14,"Chhattisgarh","Durg","Vegetables",15.04
1,1992,14,"Chhattisgarh","Durg","Fodder",0.0
1,1992,14,"Chhattisgarh","Durg","Fruits",4.19
1,1992,14,"Chhattisgarh","Durg","Onions",0.71
1,1992,14,"Chhattisgarh","Durg","Potatoes",0.06
1,1992,14,"Chhattisgarh","Durg","Vegetables",16.3
1,1993,14,"Chhattisgarh","Durg","Fodder",0.0
1,1993,14,"Chhattisgarh","Durg","Fruits",3.9
1,1993,14,"Chhattisgarh","Durg","Onions",0.74
1,1993,14,"Chhattisgarh","Durg","Potatoes",0.07
1,1993,14,"Chhattisgarh","Durg","Vegetables",16.97
1,1994,14,"Chhattisgarh","Durg","Fodder",0.0
1,1994,14,"Chhattisgarh","Durg","Fruits",4.07
1,1994,14,"Chhattisgarh","Durg","Onions",0.65
1,1994,14,"Chhattisgarh","Durg","Potatoes",0.06
1,1994,14,"Chhattisgarh","Durg","Vegetables",16.66
1,1995,14,"Chhattisgarh","Durg","Fodder",0.39
1,1995,14,"Chhattisgarh","Durg","Fruits",3.68
1,1995,14,"Chhattisgarh","Durg","Onions",0.68
1,1995,14,"Chhattisgarh","Durg","Potatoes",0.07
1,1995,14,"Chhattisgarh","Durg","Vegetables",18.54
1,1996,14,"Chhattisgarh","Durg","Fodder",0.2
1,1996,14,"Chhattisgarh","Durg","Fruits",3.56
1,1996,14,"Chhattisgarh","Durg","Onions",0.49
1,1996,14,"Chhattisgarh","Durg","Potatoes",0.07
1,1996,14,"Chhattisgarh","Durg","Vegetables",19.37
1,1997,14,"Chhattisgarh","Durg","Fodder",0.13
1,1997,14,"Chhattisgarh","Durg","Fruits",3.32
1,1997,14,"Chhattisgarh","Durg","Onions",0.45
1,1997,14,"Chhattisgarh","Durg","Potatoes",0.08
1,1997,14,"Chhattisgarh","Durg","Vegetables",19.78
1,1998,14,"Chhattisgarh","Durg","Fodder",0.27
1,1998,14,"Chhattisgarh","Durg","Fruits",3.16
1,1998,14,"Chhattisgarh","Durg","Onions",0.43
1,1998,14,"Chhattisgarh","Durg","Potatoes",0.12
1,1998,14,"Chhattisgarh","Durg","Vegetables",22.81
